season,round,driver,rating_mu
1953,8,hirt,1296.84
1953,8,landi,1601.51
1953,8,lang,1641.68
1953,8,macklin,1349.63
1953,8,marimon,1554.46
1953,8,rosier,1504.52
1953,8,scherrer,1574.59
1953,8,swaters,1495.23
1953,8,terra,1486.12
1953,8,trintignant,1366.72
1953,8,villoresi,1739.65
1953,8,wharton,1650.0
1953,9,alan_brown,1569.92
1953,9,ascari,1681.81
1953,9,bayol,1255.95
1953,9,bira,1549.69
1953,9,bonetto,1563.65
1953,9,cabantous,1523.81
1953,9,carini,1228.0
1953,9,chiron,1543.71
1953,9,claes,1301.63
1953,9,fairman,1423.12
1953,9,fangio,1869.8
1953,9,farina,2025.28
1953,9,fitch,1316.67
1953,9,graffenried,1533.76
1953,9,hans_stuck,1396.83
1953,9,hawthorn,1977.41
1953,9,landi,1395.57
1953,9,macklin,1207.89
1953,9,maglioli,1618.99
1953,9,mantovani,1633.54
1953,9,marimon,1483.74
1953,9,mcalpine,1405.74
1953,9,mieres,1576.99
1953,9,moss,1631.65
1953,9,musso,1648.06
1953,9,rosier,1500.4
1953,9,salvadori,1242.9
1953,9,schell,1520.77
1953,9,trintignant,1612.86
1953,9,villoresi,1836.76
1953,9,wharton,1483.48
1954,1,bayol,1442.0
1954,1,behra,1477.99
1954,1,bira,1605.49
1954,1,daponte,1439.39
1954,1,fangio,1931.76
1954,1,farina,2038.97
1954,1,gonzalez,1845.61
1954,1,graffenried,1578.35
1954,1,hawthorn,1833.0
1954,1,loyer,1456.94
1954,1,maglioli,1617.1
1954,1,marimon,1480.68
1954,1,menditeguy,1342.6
1954,1,mieres,1523.82
1954,1,musso,1499.62
1954,1,rosier,1422.03
1954,1,schell,1603.37
1954,1,trintignant,1699.14
1954,2,agabashian,1814.67
1954,2,armi,1492.28
1954,2,ayulo,1634.27
1954,2,bettenhausen,1322.69
1954,2,bettenhausen,1322.69
1954,2,bob_scott,1362.69
1954,2,bob_scott,1362.69
1954,2,bryan,1853.99
1954,2,connor,1440.88
1954,2,crockett,1702.45
1954,2,cross,1779.53
1954,2,darter,1667.84
